message_id,channel,label,label_name,cleaned_text,raw_text,message_length,word_count,has_url,url_count,has_phone,has_email_header,uppercase_ratio,special_char_ratio
MSG_000001,SMS,1,Phishing,Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 £3/wk 087016248,Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 £3/wk 087016248,154,30,False,0,True,False,0.0909,0.0519
MSG_000003,SMS,1,Phishing,geomagnetic-tacks.000webhostapp.com,geomagnetic-tacks.000webhostapp.com,35,1,False,0,False,False,0.0,0.0857
MSG_000004,SMS,1,Phishing,smartably.com,smartably.com,13,1,False,0,False,False,0.0,0.0769
MSG_000007,SMS,0,Legitimate,managing director and vice president elections congrats sal - very very well deserved . you are a top class colleague . barry .,managing director and vice president elections congrats sal - very very well deserved . you are a top class colleague . barry .,127,23,False,0,False,False,0.0,0.0315
MSG_000008,SMS,1,Phishing,imba.guru,imba.guru,9,1,False,0,False,False,0.0,0.1111
MSG_000010,SMS,1,Phishing,mail.shop4socials.thats.im,mail.shop4socials.thats.im,26,1,False,0,False,False,0.0,0.1154
MSG_000019,SMS,0,Legitimate,"Haha, my legs and neck are killing me and my amigos are hoping to end the night with a burn, think I could swing by in like an hour?","Haha, my legs and neck are killing me and my amigos are hoping to end the night with a burn, think I could swing by in like an hour?",132,29,False,0,False,False,0.0152,0.0227
MSG_000024,SMS,1,Phishing,enraptured-detonati.000webhostapp.com,enraptured-detonati.000webhostapp.com,37,1,False,0,False,False,0.0,0.0811
MSG_000026,SMS,1,Phishing,e-gotivka.com.ua,e-gotivka.com.ua,16,1,False,0,False,False,0.0,0.1875
MSG_000028,SMS,1,Phishing,secureyouraccount1.blogspot.com.eg,secureyouraccount1.blogspot.com.eg,34,1,False,0,False,False,0.0,0.0882
MSG_000031,SMS,1,Phishing,Free tones Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk,Free tones Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk,129,18,False,0,True,False,0.0233,0.0388
MSG_000032,SMS,1,Phishing,highmax.in,highmax.in,10,1,False,0,False,False,0.0,0.1
MSG_000034,SMS,1,Phishing,toplice.top,toplice.top,11,1,False,0,False,False,0.0,0.0909
MSG_000035,SMS,0,Legitimate,"URL: http://www.newsisfree.com/click/-1,8381146,215/ Date: 2002-09-30T03:04:57+01:00*Internet news:* Can Freeserve hold on to its position as the ISP that most Britons dial up to, asks Kate Bulkley.","URL: http://www.newsisfree.com/click/-1,8381146,215/
Date: 2002-09-30T03:04:57+01:00*Internet news:* Can Freeserve hold on to its position as the ISP that most 
Britons dial up to, asks Kate Bulkley.
",198,24,True,1,False,False,0.0707,0.1212
MSG_000039,SMS,0,Legitimate,"Rose needs water, season needs change, poet needs imagination..My phone needs ur sms and i need ur lovely frndship forever....","Rose needs water, season needs change, poet needs imagination..My phone needs ur sms and i need ur lovely frndship forever....",126,20,False,0,False,False,0.0159,0.0635
MSG_000040,SMS,1,Phishing,"Dear customer, Due to BVN system upgrade your ATM CARD has been De-activated, to re-activate, kindly call customer care on 08065635084 for help.","Dear customer, Due to BVN system upgrade your ATM CARD has been De-activated, to re-activate, kindly call customer care on 08065635084 for help.",144,23,False,0,True,False,0.0903,0.0417
MSG_000042,SMS,1,Phishing,webgraffiti.ca,webgraffiti.ca,14,1,False,0,False,False,0.0,0.0714
MSG_000044,SMS,1,Phishing,1 times a month is not enough 5 times a month is not enough please do not cllck | f you ' re not seroius today - - - - only - - - - vl @ gra - - - - clal 1 s ! only - 0 . 87 - per - dose . please reply stan bird to _ take _ off :,1 times a month is not enough 5 times a month is not enough please do not cllck | f you ' re not seroius today - - - - only - - - - vl @ gra - - - - clal 1 s ! only - 0 . 87 - per - dose . please reply stan bird to _ take _ off :,229,66,False,0,False,False,0.0,0.1048
MSG_000047,SMS,1,Phishing,1079lehman.com,1079lehman.com,14,1,False,0,False,False,0.0,0.0714
MSG_000050,SMS,0,Legitimate,"Ever green quote ever told by Jerry in cartoon ""A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt","Ever green quote ever told by Jerry in cartoon ""A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt",159,32,False,0,False,False,0.1006,0.0943
MSG_000053,SMS,1,Phishing,PRIVATE! Your 2003 Account Statement for <fone no> shows 800 un-redeemed S. I. M. points. Call 08715203656 Identifier Code: 42049 Expires 26/10/04,PRIVATE! Your 2003 Account Statement for <fone no> shows 800 un-redeemed S. I. M. points. Call 08715203656 Identifier Code: 42049 Expires 26/10/04,146,22,False,0,True,False,0.1164,0.0753
MSG_000054,SMS,1,Phishing,how is my girlfriend in the hospital unsubscribe andrei hedonistepstein rebelled arkansanhattiesburg second ghettoinroad syllabic consensusclergy cane hernandezmarigold paramagnet demographyspectroscopy apocryphal junketeerdragnet glossy adrianplaymate bemadden latincrossbar,how is my girlfriend in the hospital unsubscribe andrei hedonistepstein rebelled arkansanhattiesburg second ghettoinroad syllabic consensusclergy cane hernandezmarigold paramagnet demographyspectroscopy apocryphal junketeerdragnet glossy adrianplaymate bemadden latincrossbar,275,26,False,0,False,False,0.0,0.0
MSG_000059,SMS,1,Phishing,paypai.org,paypai.org,10,1,False,0,False,False,0.0,0.1
MSG_000063,SMS,0,Legitimate,marketwatch.com/story/argos-therapeutics-late-scientific-co-founder-ralph-steinman-md-awarded-nobel-prize-in-medicine-for-discovery-of-dendritic-cells-as-critical-sentinels-of-immune-system-2011-10-04,marketwatch.com/story/argos-therapeutics-late-scientific-co-founder-ralph-steinman-md-awarded-nobel-prize-in-medicine-for-discovery-of-dendritic-cells-as-critical-sentinels-of-immune-system-2011-10-04,200,1,False,0,False,False,0.0,0.15
MSG_000064,SMS,1,Phishing,lastktra.com,lastktra.com,12,1,False,0,False,False,0.0,0.0833
MSG_000065,SMS,1,Phishing,obmenka24.top,obmenka24.top,13,1,False,0,False,False,0.0,0.0769
